Graph Name,Num of Nodes,Num of Edges,Num of Critical Nodes,Num of Critical Edges
pair_28808_slow.js,21,40,10,12
pair_28809_fast.js,20,38,9,8
pair_28809_slow.js,21,40,9,8
pair_28812_fast.js,15,28,4,4
pair_28812_slow.js,19,36,4,4
pair_28856_fast.js,21,40,7,6
pair_28856_slow.js,21,40,7,6
pair_28872_fast.js,15,28,7,6
pair_28872_slow.js,21,40,9,9
pair_28897_fast.js,17,32,8,7
pair_28897_slow.js,14,26,7,8
pair_29045_fast.js,18,34,9,9
pair_29045_slow.js,18,34,6,6
pair_29054_fast.js,16,30,8,10
pair_29054_slow.js,16,30,8,10
pair_29201_fast.js,15,28,7,8
pair_29201_slow.js,18,34,9,10
pair_29321_fast.js,18,34,8,10
pair_29321_slow.js,17,32,8,7
pair_29341_fast.js,17,32,7,6
pair_29341_slow.js,17,32,7,6
pair_29364_fast.js,20,38,10,12
pair_29364_slow.js,17,32,8,8
pair_2944_fast.js,18,34,9,11
pair_2944_slow.js,20,38,9,11
pair_29503_fast.js,16,30,8,9
pair_29503_slow.js,11,20,5,5
pair_29543_fast.js,19,36,9,9
pair_29543_slow.js,19,36,9,9
pair_29567_fast.js,21,40,10,14
pair_29567_slow.js,20,38,9,8
pair_29682_fast.js,17,32,8,7
pair_29682_slow.js,17,32,8,7
pair_2973_fast.js,12,22,6,5
pair_2973_slow.js,11,20,5,5
pair_29751_fast.js,27,52,13,16
pair_29751_slow.js,20,38,10,12
pair_29771_fast.js,18,34,9,12
pair_29771_slow.js,18,34,9,12
pair_29778_fast.js,18,34,9,12
pair_29778_slow.js,18,34,9,12
pair_29779_fast.js,20,38,7,6
pair_29779_slow.js,20,38,8,7
pair_29803_fast.js,15,28,7,8
pair_29803_slow.js,15,28,7,8
pair_3055_fast.js,17,32,8,9
pair_3055_slow.js,17,32,8,9
pair_306_fast.js,20,38,10,16
pair_306_slow.js,14,26,7,10
pair_311_fast.js,22,42,11,15
pair_311_slow.js,20,38,10,13
pair_3144_fast.js,15,28,7,6
pair_3144_slow.js,13,24,6,7
pair_319_fast.js,12,22,6,6
pair_319_slow.js,12,22,6,5
pair_3371_fast.js,12,22,6,8
pair_3371_slow.js,15,28,7,6
pair_3379_fast.js,12,22,6,7
pair_3379_slow.js,11,20,5,6
pair_3380_fast.js,18,34,9,9
pair_3380_slow.js,18,34,9,8
pair_345_fast.js,19,36,9,10
pair_345_slow.js,21,40,10,12
pair_3494_fast.js,7,12,3,2
pair_3494_slow.js,8,14,4,4
pair_3567_fast.js,14,26,7,9
pair_3567_slow.js,16,30,8,10
pair_3618_fast.js,16,30,8,7
pair_3618_slow.js,19,36,9,9
pair_3766_fast.js,28,54,14,18
pair_3766_slow.js,22,42,10,13
pair_3783_fast.js,19,36,8,8
pair_3783_slow.js,16,30,7,7
pair_3820_fast.js,22,42,9,10
pair_3820_slow.js,20,38,9,10
pair_3821_fast.js,23,44,11,14
pair_3821_slow.js,23,44,11,14
pair_3942_fast.js,8,14,4,3
pair_3942_slow.js,8,14,4,4
pair_4069_fast.js,18,34,9,11
pair_4069_slow.js,25,48,12,16
pair_4080_fast.js,18,34,9,10
pair_4080_slow.js,18,34,8,7
pair_4088_fast.js,14,26,7,7
pair_4088_slow.js,10,18,5,6
pair_40_fast.js,18,34,9,11
pair_40_slow.js,17,32,8,10
pair_4101_fast.js,23,44,10,12
pair_4101_slow.js,23,44,10,12
pair_4179_fast.js,8,14,4,3
pair_4179_slow.js,17,32,8,9
pair_4193_fast.js,17,32,8,10
pair_4193_slow.js,17,32,6,6
pair_4200_fast.js,34,66,17,24
pair_4200_slow.js,25,48,12,17
